label,youtube_id,time_start,time_end,split
javelin throw,--07WQ2iBlw,1,11,validate
flipping pancake,--33Lscn6sk,4,14,validate
playing saxophone,--7VUM9MKg4,136,146,validate
slapping,--7goKgS4kc,15,25,validate
shaking head,--8FQVwWH0M,3,13,validate
driving tractor,--9s8lCov-I,2,12,validate
catching or throwing baseball,--DuEOFc2OQ,40,50,validate
finger snapping,--Kr1PZaPDI,1,11,validate
playing violin,--PwWfN1Ae4,97,107,validate
lifting hat,--RREBY3XLI,13,23,validate
playing ukulele,--SOz3xjWfA,37,47,validate
skiing slalom,--SrV9bGzRA,197,207,validate
changing gear in car,--XWWLL8Spk,0,10,validate
playing cymbals,--Y25nDn2Wk,60,70,validate
bowling,--dVV4_CSvw,33,43,validate
bobsledding,--gEBElruic,67,77,validate
giving or receiving award,--kbTDDIiP0,62,72,validate
air drumming,--nQbRBEz2s,104,114,validate
capoeira,--o545tThdQ,88,98,validate
bouncing on trampoline,--oEIzy6Esc,45,55,validate
triple jump,--oJV4vFNeI,3,13,validate
spinning poi,--sGO9m2Was,0,10,validate
playing marbles,--uD0h1Rpvc,24,34,validate
building cabinet,--uGS0Y4D6k,9,19,validate
hula hooping,--wYHtYMK9o,8,18,validate
clean and jerk,--yCUKj4Oq4,18,28,validate
milking cow,-0-s1eu4sF4,31,41,validate
counting money,-02UO1KSdZ0,25,35,validate
belly dancing,-05qSkAhM6Y,205,215,validate
waxing chest,-081qTv9fXc,216,226,validate
brushing hair,-0CNBzthkZ4,4,14,validate
getting a tattoo,-0COMyPvkHU,61,71,validate
shaving head,-0Eu83ggVq4,235,245,validate
marching,-0IErS_cisg,17,27,validate
motorcycling,-0L4fgr5GE0,1,11,validate
belly dancing,-0L4z8D2eGs,43,53,validate
motorcycling,-0Li7rc78jQ,128,138,validate
playing paintball,-0ML-FXomBw,1,11,validate
climbing tree,-0Mfuocujdg,0,10,validate
crawling baby,-0NOgzGpSEY,3,13,validate
playing poker,-0NQHRndkPI,4,14,validate
waking up,-0OK3nbLKgM,12,22,validate
shaping bread dough,-0QQoIK10U8,20,30,validate
wrapping present,-0WZKTu0xNk,112,122,validate
cracking knuckles,-0WpVuvRVQ8,67,77,validate
using segway,-0aEYRtpRr8,7,17,validate
making jewelry,-0cIpwdV-DU,722,732,validate
playing flute,-0cS8MCIJZY,6,16,validate
texting,-0dYbFhZsGU,237,247,validate
making pizza,-0eUJLYCmbs,1,11,validate
cooking sausages (not on barbeque),-0edhdVNyYk,47,57,validate
high kick,-0lfUaTIAEs,4,14,validate
hand washing clothes,-0qOFqf_eRk,16,26,validate
making tea,-0r6NmrdKCU,43,53,validate
smoking,-0vzKnJrPQs,96,106,validate
poking bellybutton,-0wIRDnzOxs,252,262,validate
cartwheeling,-0yP0wBW_uQ,3,13,validate
shaving head,-1-_dKO7AHo,193,203,validate
arm wrestling,-10xhPhBo0k,498,508,validate
swimming butterfly stroke,-15OAjLm520,6,16,validate
feeding fish,-15UpGVyV4w,1,11,validate
scrambling eggs,-16TZQLfXUc,60,70,validate
bee keeping,-18X6h92xpw,24,34,validate
swinging on something,-1AV2VguEDw,136,146,validate
situp,-1DARulHLgw,7,17,validate
opening present,-1Gh2yyYY7M,19,29,validate
celebrating,-1GsilN0qjU,25,35,validate
shoveling snow,-1H45f8mMSw,6,16,validate
washing hair,-1HDL5IqExA,18,28,validate
calculating,-1JDt9yf7Zg,291,301,validate
dancing charleston,-1KtlEOx78I,9,19,validate
blowing out candles,-1RpglW_MLA,20,30,validate
walking the dog,-1RxG3SJZfY,103,113,validate
crying,-1Te0BM0oU8,0,10,validate
playing maracas,-1UWSisR2zo,0,10,validate
decorating the christmas tree,-1XzFG0hqAI,1,11,validate
shaving head,-1nK1bPQYEc,149,159,validate
picking fruit,-1ohWBYNZC8,15,25,validate
knitting,-1qwHuGXhuo,16,26,validate
roller skating,-1xDshoKGiw,168,178,validate
jumpstyle dancing,-1yjdvpuk6I,15,25,validate
ice climbing,-23jfYn7w_0,13,23,validate
shining shoes,-2C-yeMmge0,3,13,validate
using atm,-2FFkuG_5-M,53,63,validate
shuffling cards,-2FbowxhzfQ,67,77,validate
contact juggling,-2HFZjPOCMk,232,242,validate
belly dancing,-2JgjPsy4Eo,77,87,validate
using a wrench,-2OEKnzA9vc,40,50,validate
putting on shoes,-2QlMF2VNbY,2,12,validate
stretching leg,-2VKVjgNuE0,0,10,validate
laying bricks,-2_KimSsCJ8,15,25,validate
pouring beer,-2ckVgGKLNU,2,12,validate
jumping into pool,-2csq_1UhMQ,2,12,validate
catching fish,-2eq0citAJg,18,28,validate
playing bagpipes,-2jAdijiM14,44,54,validate
eating hotdog,-2kJpg1NIzM,3,13,validate
setting table,-2vSka0wXKY,66,76,validate
counting money,-2vdj0y_rI4,55,65,validate
catching fish,-2yTc7WxGMM,34,44,validate
shot put,-2zDnjMmI5U,477,487,validate
sausage making,-32HzN7YtqY,0,10,validate
jumpstyle dancing,-3AyRLzm20A,1,11,validate
headbutting,-3BkgRbbc7o,0,10,validate
bench pressing,-3Ck7V6iqPk,8,18,validate
salsa dancing,-3FihEVl-R8,26,36,validate
bungee jumping,-3GJ6WdOrOw,44,54,validate
eating doughnuts,-3L9Zso_oHg,1,11,validate
blowing glass,-3ZP0DrCnOQ,136,146,validate
feeding goats,-3cl74lG6T4,0,10,validate
playing bass guitar,-3dlwCvBgTI,155,165,validate
braiding hair,-3geTJNFIWU,85,95,validate
tasting beer,-3ikeoGPN1E,0,10,validate
juggling fire,-3lxPMlK8ag,33,43,validate
blowing nose,-3nc7ljnlFQ,1,11,validate
bookbinding,-3otOHOo7kY,146,156,validate
push up,-3pjDfx73Aw,109,119,validate
laying stone,-3tw42iZluk,80,90,validate
washing hair,-3uOmg8TxNI,14,24,validate
opening bottle (not wine),-4-hlPvEbTg,21,31,validate
hugging (not baby),-41x69LV3D4,75,85,validate
pushing car,-46DNkpyApI,45,55,validate
playing cricket,-49tMSUTnZg,16,26,validate
dumpster diving,-4NENsdIuYI,492,502,validate
playing violin,-4Q0ouLt0GA,52,62,validate
somersaulting,-4_Q07zuk0w,3,13,validate
jumpstyle dancing,-4aFe_kvUaI,202,212,validate
playing piano,-4c_tY98bNg,53,63,validate
snorkeling,-4cgAtLBvTc,3,13,validate
jetskiing,-4dAJgJgxdE,15,25,validate
parasailing,-4jo2KgKd5U,23,33,validate
doing nails,-4rT1yt_Vsk,166,176,validate
jetskiing,-5-dvLrzE78,27,37,validate
baking cookies,-514AQUrSow,58,68,validate
push up,-51he86iZCY,916,926,validate
doing aerobics,-53DvfE42gE,1767,1777,validate
brush painting,-54Ntbjeiis,104,114,validate
driving car,-54UGh2sZZk,35,45,validate
massaging legs,-5DLQG80yh4,232,242,validate
scrambling eggs,-5EKnCsR9A8,144,154,validate
driving car,-5EkeE4syvA,6,16,validate
reading book,-5EyYMSM5eo,378,388,validate
riding elephant,-5JKWL9AKOY,4,14,validate
cutting watermelon,-5M3vGKRUWQ,54,64,validate
cutting pineapple,-5NObVvJedg,1,11,validate
scrambling eggs,-5RvkhL92b4,123,133,validate
tasting wine,-5SVmzwr7TU,57,67,validate
lifting hat,-5VsTBjPo3Y,27,37,validate
shuffling cards,-5X5a5u_qJ0,0,10,validate
adjusting glasses,-5ZUl3Z5yW0,0,10,validate
playing kickball,-5ZalGCVecY,40,50,validate
water sliding,-5Ze6AOZQsE,0,10,validate
parasailing,-5_5NtrU9zI,4,14,validate
playing cello,-5bYhwoDTTY,173,183,validate
juggling fire,-5dP_9DhRko,6,16,validate
stretching leg,-5fnpyU2iE0,113,123,validate
dunking basketball,-5jFf2thMKg,27,37,validate
